station_id,name,river,lat,lon,elev
249200440,JAWORZYNA KRYNIC.,Poprad (2142),49.417778,20.895278,1110.0
249200450,BIAŁKA TATRZAŃSKA,Białka (214154),49.412222,20.107222,680.0
249200470,KRYNICA,Poprad (2142),49.407778,20.960833,582.0
249200480,BUKOWINA,Białka (214154),49.337500,20.098333,902.0
249200490,MUSZYNA,Poprad (2142),49.349722,20.886389,445.0
249200530,ŁYSA POLANA,Białka (214154),49.263611,20.115000,970.0
249200540,HALA GĄSIENICOWA,Dunajec (214),49.243889,20.005833,1523.0
249200550,DOLINA 5 STAWÓW,Dunajec (214),49.213611,20.047778,1674.0
249200570,TRZEMEŚNIA,Raba (2138),49.812500,20.012778,347.0
249200910,MORSKIE OKO,Rybi Potok (2141542),49.201111,20.071389,1400.0
249200920,PIWNICZNA,Poprad (2142),49.425000,20.723056,380.0
249200930,PORONIN,Poroniec (214128),49.330278,20.035278,776.0
249200950,Szaflary,Biały Dunajec (21412),49.416111,20.025278,636.0
249200960,NOWY TARG-KOWANIEC,Dunajec (214),49.486389,20.055000,590.0
249200980,MSZANA DOLNA,Raba (2138),49.663611,20.054444,440.0
249200990,WRONOWICE,Łososina (21472),49.736389,20.590556,270.0
249201010,SIERCZA,Wilga (21372),49.972500,20.033889,336.0
249201020,Ostrowsko,Dunajec (214),49.480000,20.093889,568.0
249201030,Dobra,Łososina (214734),49.727500,20.273333,427.0
249201050,Królówka,Stradomka (21388),49.887222,20.433333,291.0
249201060,Tylmanowa,Ochotnica (2141976),49.518056,20.387500,404.0
249210010,PILZNO,Wisłoka (218),49.987222,21.308333,195.0
249210030,TUCHÓW,Biała (2148),49.903889,21.047500,220.0
249210040,ŻARNOWA,Wisłok (226),49.877778,21.816389,220.0
249210070,BIECZ-GRUDNA,Ropa (2182),49.735278,21.295556,285.0
249210080,JASŁO,Jasiołka (2184),49.735556,21.485000,228.0
249210090,GORLICE,Sękówka (21826),49.655278,21.171111,300.0
249210120,NOWY ŻMIGRÓD,Wisłoka (218),49.611667,21.533333,300.0
249210130,Zboiska,Jasiołka (2184),49.577500,21.695833,320.0
249210140,DUKLA,Jasiołka (2184),49.566944,21.680556,385.0
249210150,IWONICZ-ZDRÓJ,Lubatówka (22632),49.567222,21.788333,425.0
249210160,ORZECHÓWKA,Wisłok (226),49.716667,21.961389,310.0
249210170,BARTNE,Sękówka (21826),49.558611,21.345556,540.0
249210180,KREMPNA,Wisłoka (218),49.515833,21.489444,380.0
249210190,WISŁOCZEK,Wisłok (226),49.500833,21.865556,520.0
249210210,PUŁAWY DOLNE,Wisłok (226),49.490000,21.907222,395.0
249210220,WYSZOWADKA,Wisłoka (218),49.453889,21.420833,506.0
249210230,WYSOWA,Ropa (2182),49.438056,21.172500,519.0
249210240,BARWINEK,Jasiołka (2184),49.431111,21.684722,465.0
249210250,JAŚLISKA,Jasiołka (2184),49.440000,21.810000,440.0
249210260,TYLICZ,Poprad (2142),49.392222,21.008889,585.0
249210270,WISŁOK WIELKI,Wisłok (226),49.378611,21.999167,540.0
249210280,Kunkowa,Przysłopianka (218232),49.550000,21.124722,413.0
249210340,Krempna,Wisłoka (218),49.516389,21.484167,380.0
249210350,Moszczaniec,Wisłok (226),49.422222,21.912778,467.0
249210370,Ropica Górna,Sękówka (21826),49.596111,21.231389,357.0
249210390,Uście Gorlickie,Ropa (2182),49.526944,21.131944,398.0
249210420,Smerekowiec,Zdynia (218234),49.505278,21.233889,451.0
249220010,KAŃCZUGA,Mleczka (2268),49.985278,22.407222,215.0
249220040,DYNÓW,San (22),49.835278,22.235000,249.0
249220060,BIRCZA,San (22),49.687222,22.481111,324.0
